ID,approve,date,movie_name,score,short_review
达内个达,60,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,30,剧情不行 特效很OK  演员不功不过 就武后令人害怕   最后我看了半天评论居然没人夸阮经天的手  手也太好看了吧 还有他那个光头造型真真是禁欲  
萨库拉,48,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,40,太好看了吧，想象力一刻也没闲着，像巅峰时代的港片穿了更先进的装备光荣归来。徐克已经六十八岁了，还在创新、挑战、自我超越。他和陈凯歌都是应该被保护的电影少年。
胤祥,22,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,30,勉强三星吧，也就视听上比较有意思，大猴子比较萌。剧作……呵呵……主要人物的动机和行为基本都比较莫名其妙（反派的逻辑还算比较对吧），还要加一些更加莫名其妙的搞笑段子。“方术/幻术”与电影-政治的隐喻关系还是蛮有点意思，狄仁杰系列也就用来操练一下意识形态分析了……
麻辣香水鱼,76,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,30,还不错，我觉得剧情上来讲比2好看，给每一位演员都好评！
青空长风,177,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,50,"723有幸看了北京首映，最深感想惟震撼二字。
狄仁杰系列经历了10年通天帝国，13年神都龙王，18年四大天王。八年时间，不但故事讲得越发老练，镜头语言也越臻成熟。四大天王不但叙事上巧妙地与第一部衔接在了一起，画面质感与镜头转换也达到了系列作的巅峰。
天马行空的想象，独特的东方韵味，熟悉的东方元素无缝融入画面。怪力乱神的方术，破壁飞龙，金刚白猿，巨型锦鲤，曼妙飞天，暗器破空而来，天王悚然升起。震撼，精彩！
故事讲述如行云流水。全剧情节紧凑，一气呵成，痛快淋漓，直到看到结局，看完彩蛋，也依然意犹未尽。
感谢徐克，数十年来奉献了无数好片。这位年过七十的老人对电影的探索之路从未停息。狄仁杰之四大天王，展示了华语电影的一个发展方向，渗透中国元素的奇诡壮美！
"
扭腰客,41,"
                    2018-07-29
                ",狄仁杰之四大天王 短评,10,全程瞎使劲，一直假高潮，徐克太令人失望了。恶趣味不是电影感，假推理不是真探案。以及，只许圣上洗脑，不许方士移魂，也是很反映现实了。
西帕克,38,"
                    2018-07-28
                ",狄仁杰之四大天王 短评,20,剧情弱，人物扁平，纯特效推动，徐克自从陷入奇观电影的漩涡后，几乎没有再拍出过好片。我终于相信《奇门遁甲》是徐克拍的了。
猫特,46,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,20,老怪拍完西游彻底放飞自我，剧情、节奏、剪辑乱的飞起，我狄仁杰案子也不破了，天天陪你们打怪兽。相比之下，《妖猫传》竟能胜过一筹啊。
CyberKnight电子骑士,24,"
                    2018-07-29
                ",狄仁杰之四大天王 短评,40,"徐老怪又回到了自己的本命上来——之前的《西游伏妖篇》骨子里还是部周星驰电影；《龙门飞甲》又有点旧瓶装新酒。
狄仁杰三部曲则始终以徐克、陈国富、张家鲁黄金三角阵容打造，最能体现徐克的风格特点。
这一部可能算是三部曲中最好看、最神奇的。尽管还有一点点徐克“虎头蛇尾”的老毛病，但可以说从头到尾都很抓人！
以制作水准看，本片是国内能拿出来与好莱坞奇幻大片抗衡的最高水准，特效相当不错，比之《龙门飞甲》的良莠不齐有很大进步。各种奇术怪形层出不穷，想象力很赞。结尾一段颇有点日漫味道，让我想起了《孔雀王》。（友情提示：有段场面密恐会不适……）"
把噗,44,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,40,有一种电影叫“徐克电影”。
塔拉胡,136,"
                    2018-07-24
                ",狄仁杰之四大天王 短评,40,《狄仁杰》系列拍到第三部，看到熟悉的触手系、神神鬼鬼佛妖道和更绮丽诡谲的视效，突然间觉得无所谓几颗星，老爷你玩得开心就好。
似水年华,37,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,30,剧情一般，视觉效果很棒，结局略显仓促。
Morning,17,"
                    2018-07-30
                ",狄仁杰之四大天王 短评,20,除去绚丽夺目的视效外，武打设计也是很好的，尤其四大天王处一场打戏，设计又与3D贴合，流畅又有细节，比绣春刀那种依靠剪辑的无逻辑要好很多。一上来摔碗就落了下乘，徐克没有把想象力分半点给故事，台词和人物都是道具式功能化的，全片80%的台词都在讲前史，讲形势，讲人物的来龙去脉，好不容易解释完这些又想添加一些喜剧效果，非常的单薄。二圣临朝的政治形势被表现的很像当代的古装烂剧，摔碗是其一，殿前幻术，武后带领群臣鼓掌是其二，都是很烂剧式的表现形式。马思纯的角色可以删去，硬塞给异人组，结果真人都死了，她还没死，又被硬派去找圆测，还无端端增加大理寺全员委托一场尬戏，昏倒后醒来第一件事就是扇救命的人巴掌，再也在这样的角色玩不出什么新花样，假武后勾引狄仁杰也是怪得难以下咽，后徐克时代最好的女性角色在这部完全被毁。
寒枝雀静,32,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,40,C＋/ 假如说陈凯歌对幻术的理解是刹那芳华落英满地，徐克的幻术便是柳暗花明山外青山。或许就概念而言个人更偏爱前者，但依然难以抗拒后者在眼前延绵不绝时排山倒海的致幻冲击力。叙事节奏足够好甚至饱和，但也有部分桥段显得略为急躁。林更新和冯绍峰显然是最大败笔，假如他们俩的表演加起来能达到50分，这部作品大概会是前两部优势的完美结合。
百里即墨殇,29,"
                    2018-08-01
                ",狄仁杰之四大天王 短评,20,还是喜欢通天帝国那一部，这几个男的莫名有点腻，肿么回事？
犹在镜中,29,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,40,惊喜。想象力奇崛且有趣，为IMAX3D而生：作为大唐佛教传人的圆测化身「鲤（李）鱼」，那段最是难忘，灵气逼人。他在电影亦作为大唐（文明）代表出场最后大战，与剩下的天王（天竺佛教代表）和外来文明大战，视效极佳。只是一个关乎地缘政治的国族问题，被幻象（仇恨蔽心）置换，有简化嫌疑，应该更加精进。这也是电影文本缺陷的体现。回到影片最大的幻象——利/权欲熏心，可以看到人物大多因此来回奔波，其中幻象的实体便是「亢龙锏」，一个状似菲勒斯的象征权力之物（千仞观音同）。最后一场大战亦破除了最大幻象：祛除附在此物身上的人为光晕，将它拿来实用（响声驱除幻象），这个对权力的重读深得我心。最后，拿来分享同一关键词「幻象」的妖猫相比，徐克不仅更加清醒，还明确了东方文化的主体性。因此纵然细节处置信度不如妖猫，但仍远超之。
相逢何必不认识,40,"
                    2018-07-28
                ",狄仁杰之四大天王 短评,20,"四大天王够用么，怎么也得凑两桌麻将啊，真的是可惜了刘嘉玲的演技。
看看高分评论，跟片子一样尴尬，感觉一个个像是在黑诶，剧情不够特效来凑，你是猴子请来的逗比么。"
五色全味,31,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,40,近年最具想象力和执行力的徐克作品，中西意象结合，美术造型动作设计都落足功夫。唯一短板依旧是徐克的剧本，这次尝试将尉迟真金做了喜剧处理，效果差点意思，瑕不掩瑜。
君流儿,44,"
                    2018-07-28
                ",狄仁杰之四大天王 短评,20,赵又廷台词不行，一张嘴就让人脱离人物，冯绍峰不知道咋回事动不动干瞪眼又莫名其妙的惊奇脸，是要cosplay厂花么🧐还有全程尬演的林更新……女演员这边🤔随处精分的嘉玲姐和仿佛刚从将军在上剧组过来的思纯哥哥……系列最差，老怪不行啊，追求特效是一回事，故事才是根本啊，剧情太差了😤
喵尔摩丝,12,"
                    2018-07-30
                ",狄仁杰之四大天王 短评,40,好看。金刚怒目却堕入魔道，菩萨低眉而不一语道破。依旧是江湖与庙堂的纠缠，单凭江湖术士不足以在金銮殿上搅弄风云，但不管呼来了风还是唤来了雨，所有罪业终都会归于江湖。至于儒释道，用得着时奉为国教，用不上就成了旁门左道，真理难寻，人心难测。p.s.徐大导演是嫌阮经天太帅么？加一起出场就没几分钟，还拿铁罩子把脸给罩上了，生气！
津五渡,29,"
                    2018-07-24
                ",狄仁杰之四大天王 短评,30,优点是想象天马行空，奇幻鬼魅，打斗精彩，悬疑气氛营造到位。相比头两部有进步，但也局限在技术层面，手松点能给到7分。徐克最近的电影，都是技术有余，灵魂不足。再良心的3D，眼睛也不舒服。结尾观感不佳，类似于《人生一串》第二集，密集的眼睛令人恐慌。至于大猩猩，徐克可能想证明他也能拍《金刚》。
心生,10,"
                    2018-07-28
                ",狄仁杰之四大天王 短评,30,三星半。技术层面有着相对于一般华语电影的明显的优势，这方面算是徐克稳定发挥。角色有点单薄（尤其比如刘嘉玲的角色这种处理），但故事上的趣味性尚算过关，当有了幻象作为蒙层，当一切精绝归于幻象，想象便有了更大的空间，夸张一点也容易接受。最遗憾的是，多个角色的对白声音配得不理想，语气以及台词本身都常常别扭。“异人组”当中一人的兵器，让我想起了同是徐克作品的《蜀山传》中孤月大师的月金轮（然后又突然意识到《蜀山传》都是17年前的了啊……）。最自如的应该是马思纯，闪闪发光，喜欢（但是也被一些蹩脚的台词拖累了）。眼睛怪真是让人窒息……PS：结尾几个彩蛋也有意思。
内陆飞鱼,10,"
                    2018-07-31
                ",狄仁杰之四大天王 短评,40,徐老怪想象力无边，狄仁杰智勇双全，IMAX视觉效果如沐春风，幻象，幻觉一波接一波，大唐妖气冲天，武媚娘气场强大，亢龙锏与“伴君如伴虎”的故事，像是做了一场梦，除了触手系怪物以及阮经天那只大猩猩坐骑，全片几乎没有出戏的尿点。喜欢逗比的马思纯、林更新。
与碟私奔,142,"
                    2018-07-24
                ",狄仁杰之四大天王 短评,50,在国产电影日益被吸睛的这个暑期档，该片系列【第一次】在电影院观看，足够震撼了，故事情节紧凑，特效精彩绝伦，令人目不暇接。感觉经过八年的磨砺和摸索『狄仁杰』已经成为中国🇨🇳奇幻电影的扛鼎大作，让人充满期待。電影最后，我们惊喜的发现国产電影也有了值得留恋意犹未尽的彩蛋。
红色小皮鞋,125,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,50,"提前看了点映，对于徐克导演的脑回路佩服的五体投地。视觉效果超级超级棒，回到家立马又重温了之前的两部狄仁杰系列，非常期待再来一部讲述林更新饰演的沙陀忠黑化就能跟狄仁杰之通天帝国梁家辉的沙陀忠接应起来了。
 "
麻绳,22,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,40,徐克的想象力真是无敌，特效和美术都很极致，一波接一波的视觉高潮，可以让人忽略掉剧情上的单薄。演员比较拖后腿，尤其是fsf，完全的色厉内荏……
余小岛,29,"
                    2018-07-28
                ",狄仁杰之四大天王 短评,50,忍不住要打五星。。。纵使剧本人物节奏对白都有问题，就冲着这华语电影界独一份的电影奇观，实在是太喜欢了。。当看到到大唐金刚屋顶打飞机，大魔王眼珠乱飞时，真的是无比激动。。。。电影就是一场幻术，而徐克才是幕后那个最厉害的术师。
